S21
0.006332395
0.006003015
0.005671043
0.005336469
0.004999284
0.00465948
0.004317046
0.003971975
0.003624257
0.003273884
0.002920845
0.002565134
0.002206741
0.001845657
0.001481874
0.001115383
0.000746175
0.000374242
-4.24E-07
-0.000377833
-0.000757992
-0.001140909
-0.001526593
-0.001915053
-0.002306296
-0.00270033
-0.003097164
-0.003496805
-0.003899262
-0.004304542
-0.004712653
-0.005123603
-0.0055374
-0.005954051
-0.006373564
-0.006795946
-0.007221205
-0.007649348
-0.008080382
-0.008514315
-0.008951154
-0.009390905
-0.009833577
-0.010279175
-0.010727707
-0.011179179
-0.011633599
-0.012090972
-0.012551306
-0.013014606
-0.01348088
-0.013950133
-0.014422372
-0.014897603
-0.015375832
-0.015857064
-0.016341307
-0.016828565
-0.017318844
-0.017812149
-0.018308487
-0.018807863
-0.019310282
-0.019815749
-0.02032427
-0.020835848
-0.02135049
-0.021868201
-0.022388984
-0.022912844
-0.023439787
-0.023969816
-0.024502936
-0.02503915
-0.025578464
-0.02612088
-0.026666403
-0.027215037
-0.027766785
-0.028321651
-0.028879638
-0.029440749
-0.030004988
-0.030572358
-0.031142861
-0.031716501
-0.03229328
-0.0328732
-0.033456265
-0.034042476
-0.034631836
-0.035224347
-0.035820011
-0.036418829
-0.037020803
-0.037625936
-0.038234227
-0.038845679
-0.039460293
-0.04007807
-0.04069901
-0.041323115
-0.041950385
-0.042580821
-0.043214422
-0.04385119
-0.044491124
-0.045134224
-0.04578049
-0.046429921
-0.047082518
-0.047738279
-0.048397204
-0.049059291
-0.049724541
-0.05039295
-0.051064519
-0.051739245
-0.052417128
-0.053098164
-0.053782352
-0.054469691
-0.055160177
-0.055853808
-0.056550582
-0.057250496
-0.057953547
-0.058659733
-0.059369049
-0.060081492
-0.060797059
-0.061515747
-0.062237551
-0.062962468
-0.063690493
-0.064421622
-0.06515585
-0.065893174
-0.066633587
-0.067377086
-0.068123665
-0.068873318
-0.069626041
-0.070381828
-0.071140673
-0.07190257
-0.072667512
-0.073435495
-0.074206511
-0.074980554
-0.075757616
-0.076537692
-0.077320774
-0.078106855
-0.078895927
-0.079687983
-0.080483015
-0.081281016
-0.082081976
-0.082885889
-0.083692745
-0.084502536
-0.085315254
-0.086130889
-0.086949432
-0.087770875
-0.088595207
-0.08942242
-0.090252503
-0.091085447
-0.091921242
-0.092759878
-0.093601343
-0.094445629
-0.095292723
-0.096142616
-0.096995295
-0.097850751
-0.098708972
-0.099569945
-0.100433661
-0.101300106
-0.102169269
-0.103041139
-0.103915701
-0.104792945
-0.105672857
-0.106555426
-0.107440637
-0.108328478
-0.109218936
-0.110111997
-0.111007648
-0.111905876
-0.112806666
-0.113710005
-0.114615878
-0.115524271
-0.116435171
-0.117348562
-0.118264429
-0.119182759
-0.120103535
-0.121026744
-0.121952369
-0.122880395
-0.123810807
-0.12474359
-0.125678727
-0.126616202
-0.127556
-0.128498104
-0.129442498
-0.130389166
-0.131338091
-0.132289256
-0.133242645
-0.13419824
-0.135156025
-0.136115982
-0.137078094
-0.138042345
-0.139008715
-0.139977188
-0.140947745
-0.14192037
-0.142895043
-0.143871747
-0.144850464
-0.145831176
-0.146813863
-0.147798508
-0.148785091
-0.149773595
-0.150764
-0.151756288
-0.152750439
-0.153746434
-0.154744255
-0.155743881
-0.156745294
-0.157748474
-0.158753402
-0.159760058
-0.160768423
-0.161778476
-0.162790197
-0.163803568
-0.164818567
-0.165835175
-0.166853372
-0.167873138
